Month,Supply,Demand,Balance,Insight
Jan,100,95,5,Supply exceeded demand due to mild weather
Feb,105,98,7,Production increased from new facilities
Mar,110,108,2,Demand growth narrowed surplus
Apr,115,120,-5,Seasonal demand exceeded supply
May,118,125,-7,Petrochemical consumption increased
Jun,122,128,-6,Exports remained strong
Jul,126,130,-4,Pipeline constraints limited deliveries
Aug,130,131,-1,Market remained balanced
Sep,135,132,3,Supply recovered after maintenance
Oct,140,138,2,Strong export activity supported demand
Nov,145,140,5,Inventory replenishment increased supply
Dec,150,144,6,Year-end production reached record levels
