product_code,product_name,section,page,record_type,requirement_scope,property,astm_method,minimum,maximum,note_ref,text,review_status
A,CBOB regular (87 octane),3.3,14,context,,,,,,,PRODUCT SPECIFICATIONS 3.3.1 CONVENTIONAL REGULAR GASOLINE BLENDSTOCK (CBOB),Source heading
A,CBOB regular (87 octane),3.3,14,specification,All / see section,Octane RON,D2699,Report,,,Octane | RON | D2699 | Report |  |  | ,Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,14,specification,All / see section,MON,D2700,82.0,,, | MON | D2700 | 82.0 |  |  | ,Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,14,specification,All / see section,(R+M)/2,87.0,,,, | (R+M)/2 |  | 87.0 |  |  | ,Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,14,specification,All / see section,"Oxygen Content, weight %",D5599,,0.1,,"Oxygen Content, weight % |  | D5599 |  | 0.1 |  | 1,2 6",Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,14,specification,All / see section,RVP (psi),D5191,,,,"RVP (psi) |  | D5191 |  |  |  | 3, [N] 10",Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,14,specification,All / see section,Grades,,With Ethanol,Without Ethanol,,Grades |  |  |  | With Ethanol | Without Ethanol | ,Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,14,specification,All / see section,"A2,2A",,10.0,[N] 9.0,,"A2,2A |  |  |  | 10.0 | [N] 9.0 | ",Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,14,specification,All / see section,"A3,3A",,12.5,X,,"A3,3A |  |  |  | 12.5 | X | ",Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,14,specification,All / see section,"A4,4A",,14.5,X,,"A4,4A |  |  |  | 14.5 | X | ",Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,14,specification,All / see section,"A5,5A",,15.5,X,,"A5,5A |  |  |  | 15.5 | X | ",Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,14,note,,,,,,,Heavy Metals are not allowed to be present.,Source note / supporting table
A,CBOB regular (87 octane),3.3,14,note,,,,,,,Additive requirements/restrictions - refer to section 3.2.,Source note / supporting table
A,CBOB regular (87 octane),3.3,14,note,,,,,,,"This is a base gasoline, not for sale to the ultimate consumer.",Source note / supporting table
A,CBOB regular (87 octane),3.3,14,note,,,,,,,Any gasoline exhibiting an offensive odor and/or poses a personal health hazard will not be accepted for shipment.,Source note / supporting table
A,CBOB regular (87 octane),3.3,14,note,,,,,,,Any gasoline containing more than 0.50 wt. % of dicyclopentadiene will not be accepted for shipment.,Source note / supporting table
A,CBOB regular (87 octane),3.3,14,note,,,,,,,The referee method will be based on a gas chromatograph test.,Source note / supporting table
A,CBOB regular (87 octane),3.3,14,note,,,,,,,Delivery test results may vary by the smaller of ASTM reproducibility for a given test or any test tolerance as allowed by state or EPA regulations at the point of delivery.,Source note / supporting table
A,CBOB regular (87 octane),3.3,15,context,,,,,,,PRODUCT SPECIFICATIONS 3.3.2 CONVENTIONAL REGULAR GASOLINE BLENDSTOCK (CBOB),Source heading
A,CBOB regular (87 octane),3.3,15,specification,Fungible only,Benzene (vol%),D3606,,3.8,[N] 3,Benzene (vol%) | D3606 |  | 3.8 | [N] 3,Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,15,specification,Fungible only,Color,,,Undyed,,Color |  |  | Undyed | ,Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,15,specification,Fungible only,Corrosion (Cu) 3 hrs @122oF (50oC),D130,,1,,Corrosion (Cu) 3 hrs @122oF (50oC) | D130 |  | 1 | ,Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,15,specification,Fungible only,Corrosion (Ag) 3 hrs @122oF (50oC),D7671,,1,,Corrosion (Ag) 3 hrs @122oF (50oC) | D7671 |  | 1 | ,Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,15,specification,Fungible only,Doctor test,D4952,Negative (sweet),,4,Doctor test | D4952 | Negative (sweet) |  | 4,Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,15,specification,Fungible only,"Mercaptan sulfur, wt.%",D3227,,0.002,,"Mercaptan sulfur, wt.% | D3227 |  | 0.002 | ",Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,15,specification,Fungible only,Solvent Washed Gum mg/100 ml,D381,,4,,Solvent Washed Gum mg/100 ml | D381 |  | 4 | ,Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,15,specification,Fungible only,Gravity oAPI at 60oF,D4052,Report,,6,Gravity oAPI at 60oF | D4052 | Report |  | 6,Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,15,specification,Fungible only,Oxidation stability-minutes,D525,240,,6,Oxidation stability-minutes | D525 | 240 |  | 6,Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,15,specification,Fungible only,"Phosphorous, gms/gal",D3231,,0.004,,"Phosphorous, gms/gal | D3231 |  | 0.004 | ",Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,15,specification,Fungible only,Sulfur,D2622,,80,"7, 6","Sulfur | D2622 |  | 80 | 7, 6",Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,15,specification,Fungible only,,[C] or equivalent,,,, | [C] or equivalent |  |  | ,Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,15,specification,Fungible only,Nace Corrosion,TM0172,B+ (Origin),,6,Nace Corrosion | TM0172 | B+ (Origin) |  | 6,Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,15,specification,Fungible only,Volatility:,,,,,Volatility: |  |  |  | ,Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,15,specification,Fungible only,Driveability Index,D4814,,See Chart,,Driveability Index | D4814 |  | See Chart | ,Table extracted; verify merged cells and revision markings
A,CBOB regular (87 octane),3.3,15,specification,Fungible only,"Distillation, oC (oF) @ %Evap.",D86,,See Chart,,"Distillation, oC (oF) @ %Evap. | D86 |  | See Chart | ",Table extracted; verify merged cells and revision markings
