Month,Supply,Demand,Balance,Price,Insight
Jan,100,95,5,2.75,Supply exceeded demand due to mild weather
Feb,105,98,7,2.55,Production increased from new facilities
Mar,110,108,2,2.35,Demand growth narrowed surplus
Apr,115,120,-5,1.25,Seasonal demand exceeded supply
May,118,125,-7,2.85,Petrochemical consumption increased
Jun,122,128,-6,1.65,Exports remained strong
Jul,126,130,-4,2.55,Pipeline constraints limited deliveries
Aug,130,131,-1,2.35,Market remained balanced
Sep,135,132,3,1.15,Supply recovered after maintenance
Oct,140,138,2,2.95,Strong export activity supported demand
Nov,145,140,5,1.75,Inventory replenishment increased supply
Dec,150,144,6,0.75,Year-end production reached record levels
